Module Name,Module Type,Port Name,Direction,Width,Index,Comment Source,Comment 
NFC,Top_Level,clk,INPUT,1,-,-,-
NFC,Top_Level,rst,INPUT,1,-,-,-
NFC,Top_Level,cmd,INPUT,33,[32:0],-,-
NFC,Top_Level,done,OUTPUT,1,-,-,-
NFC,Top_Level,M_RW,OUTPUT,1,-,-,-
NFC,Top_Level,M_A,OUTPUT,7,[6:0],-,-
NFC,Top_Level,M_D,INOUT,8,[7:0],-,-
NFC,Top_Level,F_IO,INOUT,8,[7:0],-,-
NFC,Top_Level,F_CLE,OUTPUT,1,-,-,-
NFC,Top_Level,F_ALE,OUTPUT,1,-,-,-
NFC,Top_Level,F_REN,OUTPUT,1,-,-,-
NFC,Top_Level,F_WEN,OUTPUT,1,-,-,-
NFC,Top_Level,F_RB,INPUT,1,-,-,-
